Index	Label
0	0
1	1
2	0
3	1
4	1
5	0
6	1
7	1
8	0
9	1
10	0
11	1
12	1
13	0
14	0
15	0
16	1
17	0
18	1
19	1
20	1
21	1
22	1
23	0
24	1
25	0
26	0
27	1
28	0
29	1
30	0
31	0
32	0
33	0
34	0
35	1
36	0
37	1
38	1
39	1
40	1
41	1
42	1
43	0
44	1
45	1
46	0
47	0
48	1
49	0
50	1
51	0
52	0
53	1
54	0
55	0
56	1
57	0
58	0
59	0
60	0
61	1
62	0
63	1
64	0
65	1
66	1
67	0
68	1
69	1
70	1
71	1
72	1
73	1
74	0
75	1
76	1
77	1
78	0
79	1
80	1
81	0
82	1
83	0
84	0
85	0
86	0
87	0
88	1
89	1
90	0
91	1
92	0
93	0
94	1
95	0
96	1
97	1
98	0
99	1
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	1
108	0
109	0
110	1
111	1
112	0
113	0
114	1
115	1
116	0
117	1
118	0
119	0
120	0
121	0
122	1
123	0
124	1
125	1
126	0
127	0
128	1
129	0
130	1
131	0
132	0
133	1
134	1
135	1
136	0
137	0
138	0
139	0
140	1
141	0
142	1
143	1
144	0
145	0
146	0
147	0
148	1
149	0
150	0
151	0
152	0
153	1
154	0
155	1
156	0
157	0
158	0
159	1
160	0
161	0
162	0
163	0
164	1
165	1
166	0
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	0
175	0
176	0
177	0
178	1
179	1
180	1
181	0
182	1
183	0
184	0
185	0
186	0
187	0
188	0
189	1
190	1
191	1
192	0
193	1
194	0
195	1
196	1
197	0
198	1
199	0
200	0
201	1
202	0
203	0
204	0
205	0
206	1
207	1
208	0
209	0
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	0
218	0
219	1
220	1
221	1
222	1
223	0
224	1
225	1
226	1
227	0
228	0
229	0
230	0
231	0
232	0
233	1
234	0
235	0
236	1
237	1
238	1
239	1
240	0
241	0
242	1
243	1
244	0
245	1
246	0
247	1
248	0
249	0
250	0
251	1
252	0
253	0
254	0
255	1
256	1
257	0
258	1
259	1
260	1
261	1
262	0
263	0
264	1
265	1
266	0
267	1
268	1
269	0
270	1
271	1
272	1
273	1
274	1
275	1
276	0
277	1
278	1
279	1
280	0
281	1
282	1
283	0
